Promotion,City,State,Lat,Lon
Western State Sports,Amarillo,Texas,35.2019467,-101.8751517
Western State Sports,Abilene,Texas,32.4838085,-99.8768037
Western State Sports,El Paso,Texas,31.811056,-106.5649437
Western State Sports,Lubbock,Texas,33.5911236,-101.9586548
Western State Sports,Odessa,Texas,31.8765907,-102.4137648
Western State Sports,San Angelo,Texas,31.4321218,-100.5172488
Western State Sports,Alburquerque,New Mexico,35.082329,-106.8169055
Western State Sports,Colorado Springs,Colorado,38.8756003,-104.8987851
Western State Sports,Pueblo,Colorado,38.2672245,-104.6610796
Western State Sports,Beaver,Oklahoma,36.8139412,-100.5330011
Western State Sports,Clovis,New Mexico,34.412029,-103.195236
Western State Sports,King City,California,36.212776,-121.126114
Western State Sports,Chowchila,California,37.122997,-120.2601754
Big Time Wrestling,San  Francisco,California,37.773972,-122.431297
Big Time Wrestling,Fresno,California,36.746841,-119.772591
Pacific NorthWest Wrestling,Tacoma,Washington,47.258728,-122.465973
Big Time Wrestling,Sacramento,California,38.590576,-121.489906
Pacific Northwest Wrestling,Portland,Oregon,45.523064,-122.676483
Pacific Northwest Wrestling,Salem,Oregon,42.519539,-70.896713
Pacific Northwest Wrestling,Euguene,Oregon,44.052071,-123.086754
Pacific Northwest Wrestling,Seatlle,Washington,47.608013,-122.335167
Pacific Northwest Wrestling,Coos Bay,Oregon,43.3665,-124.2179
Pacific Northwest Wrestling,Findley,Washington,47.3176086,-121.584543
Pacific Northwest Wrestling,Centralia,Washington,46.7162136,-122.9542972
Pacific Northwest Wrestling,Albany,Oregon,44.636511,-123.105928
Pacific Northwest Wrestling,Newport,Oregon,44.636784,-124.05345
Pacific Northwest Wrestling,Longview,Washington,46.138168,-122.938167
Pacific Northwest Wrestling,Vancouver,Washington,45.625738,-122.676089
Hollywood Wrestling,Los Angeles,California,34.024212,-118.496475
Hollywood Wrestling,Long Beach,California,33.77005,-118.193741
Hollywood Wrestling,San Diego,California,32.715736,-117.161087
Hollywood Wrestling,San Bernadino,California,34.115784,-117.302399
Hollywood Wrestling,Bakersfield,California,35.393528,-119.043732
AWA,Saint Paul,Minnesota,44.954445,-93.091301
AWA,Minneapolis,Minnesota,44.986656,-93.258133
AWA,Bloomington,Minnesota,44.840798,-93.29828
AWA,Omaha,Nebraska,41.25716,-95.995102
