Territory ,Main Character,Story,Link
CWA,Mr. Fuji,Mr. Fuji Removes an Engine,https://www.youtube.com/watch?v=6P5zi_N3dGY
CWA,"Tojo, Dennis Condrey, and Phil Hickerson ",,https://www.youtube.com/watch?v=6P5zi_N3dGY
WWF,Hacksaw Jim Duggan and the Iron Sheik,Breaking KayFabe on the Jersey Turnpike,https://www.youtube.com/watch?v=K76tKBBcTTo
WWF,Piper and Cowboy Bob Sushi,Spontanous Sushi,https://www.youtube.com/watch?v=AAXdshGo1ZE
Northern California,"Don Muraco, Piper, and Cowboy Bob",The Rental Car Almost Gets Hit by the Train Tracks,https://www.youtube.com/watch?v=0IL7NXFXrqA
Detroit,Tony Atlas and Mr. Wonderful,Tony Atlas Get Sucker Punched Over the Smell of Ribs ,https://www.youtube.com/watch?v=ECv94zlpYuo
CWA,The Macho Man,The Macho Man Gets Bit by a Police Dog in a Waffle House,https://www.youtube.com/watch?v=WhgYov9t9ys&t=496s
CWA,Rockers and Nasty Boyz,Sneaking into Graceland,https://www.youtube.com/watch?v=WhgYov9t9ys&t=496s
WWF,Haku,Haku Bites a Guy's Nose Off,https://www.youtube.com/watch?v=WhgYov9t9ys&t=496s
Hollywood,Haku and the Steiners ,Haku Fights a Gang of Marines and Eats Mace ,https://www.youtube.com/watch?v=ilG_VqrbJck
WWF,Haku,Haku Gouges Jimmy Jack's Eyes Out,https://www.youtube.com/watch?v=fsTnXUzMBo8
St Louis,Haku,Haku Breaks Police Handcuffs,https://www.youtube.com/watch?v=d544N8QqFq0
AWA,Flair ,Limo Driver Dies from Partying Too Hard,https://www.youtube.com/watch?v=gB_abjSpHTQ
AWA,Flair ,"Buys 2 40,000 dollar coats while drunk",https://www.tickpick.com/blog/crazy-ric-flair-stories-you-havent-heard/
St Louis/Heartland,Ric Flair and Shawn Michaels ,"Shawn Michaels Tells his Dad about a 10,000 Dollar Bill at Scores",https://www.youtube.com/watch?v=Vq4_VSpYKEA
Mid Atlantic ,The Four Horseman,Shennanigans at Bennigans ,https://www.youtube.com/watch?v=gB_abjSpHTQ
Mid-Atlantic,Where is Mondo?,Fun in Vegas,https://www.youtube.com/watch?v=2ozQVYHisfA
Mid-Atlantic,Rick Flair ,They Made More Money Than the History of the Bar,https://www.youtube.com/watch?v=2ozQVYHisfA
Houston ,Hercules Saves Cornette's Life,,https://www.youtube.com/watch?v=Xd6JcWAVHg8
CWA,Hercules ,Herc Driving Down the Road With the Car Door Open,https://www.youtube.com/watch?v=Xd6JcWAVHg8
CWA,Mr Perfect and the Nasty Boys,Verne - The Hotel Burned Down,https://www.youtube.com/watch?v=XYtNBDElyeE
WWF,Nasty Boyz and Miss Elizabeth,The Fart Heard Around the World,https://www.youtube.com/watch?v=VCjk59lJ2Wk
WWF,"Piper, Brother Love, and Jake the Snake",Brother Love Accidently Smokes Crack,https://www.youtube.com/watch?v=FpHu2i3rpBc
WWF,"Macho, Owen, Bret Hart, George Steele",Throwing George Steel's Bag into a River,https://www.youtube.com/watch?v=Ny077TFco1k
Western State Sports,Funks and Dick Murdoch ,"Selling the Territory for 20,000 dollars",https://www.youtube.com/watch?v=Cgd7DVUKT18
Portland,"Don Owens, Piper, and Killer Brooks",It smells like shit in here,https://shitloadsofwrestling.tumblr.com/post/168646736068/roddy-piper-tells-a-story-about-portland-wrestling/embed
WWA,Rougeaus and the Dynamite Kid,Revenge ,https://www.youtube.com/watch?v=iVvATXh7WoQ
WWF,1-2-3 Kid and Curt Henning,The 1-2-3 Kid Loses His Eye Brows,https://www.youtube.com/watch?v=-NDSAmKatN8
Western State Sports ,1-2-3 Kid and Smoking Guns,The Guns Can't Take off Their Hats,https://www.youtube.com/watch?v=-NDSAmKatN8
WWF,Jerry Lawler ,A Crown Fit for a King,https://whatculture.com/wwe/10-most-hilarious-wwe-superstar-pranks?page=5
